Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fc4a4c1e684615a25d8dbbdb7bac58d23a32fe87bbf101b550846d6e392126b7,2012-06,City of London Police,City of London Police,-0.102741,51.513885,On or near PAGEANTMASTER COURT,E01032740,City of London 001G,Suspect charged
51e0455a01d17ddafa0f4e89fa9d31bf8a5811f8cff050b22be972757fb0bbb8,2012-06,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Suspect charged
7d3978be3cb673b4e70579e4e5af15da426f09f23e286ff2be140501d401a8b6,2012-06,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Suspect charged
d08cb18bff4480acb9b1d7a33a4203f0877c587434580743da96e44303c6fe42,2012-06,City of London Police,City of London Police,-0.092321,51.513194,On or near PANCRAS LANE,E01032739,City of London 001F,Suspect charged
1c9c89bee5a2a3bdf31e944f3be87bfb0ff24d063e6c7dfc5221570764c7951e,2012-06,City of London Police,City of London Police,-0.094464,51.512959,On or near WATLING COURT,E01032739,City of London 001F,Suspect charged
2630937faaf2a6efab0f0977bd4734664583998b69c49f834b56dc3eb06ad13f,2012-06,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Suspect charged
b3c551b0b3384e4ec3069a50481604c42619ad21f99c5087162d30df4476bf34,2012-06,City of London Police,City of London Police,,,No location,,,Suspect charged
fc4a4c1e684615a25d8dbbdb7bac58d23a32fe87bbf101b550846d6e392126b7,2012-06,City of London Police,City of London Police,-0.102741,51.513885,On or near PAGEANTMASTER COURT,E01032740,City of London 001G,Suspect charged
110ca20c0f4c3fecb56487c660839c138b8a91cd8b54e83ee746e9cae215465f,2012-06,City of London Police,City of London Police,,,No location,,,Suspect charged
a9d39ede803f76db69909ae22ba080c084aa5d5be48f7e7d6e170e8a720c2232,2012-06,City of London Police,City of London Police,,,No location,,,Offender given a caution
3ee1d4718e3efba1254dca24dbe35fcdf08af50ad59b26c17305d87889e15ecc,2012-06,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Offender given penalty notice
f9f9ea776c44b50f298c3087b1d719032a366f0e49fafa0ffa1d15d94c6e4f91,2012-06,City of London Police,City of London Police,-0.086272,51.513114,On or near BIRCHIN LANE,E01032739,City of London 001F,Offender given a caution
df7b24903386188df754ba8ef78ed284a90d33f239500b924861d6f63072f16d,2012-06,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender given penalty notice
1ae559b7bd711cd43cc113927288462182f6d2922e8f906d7a048e8b4a5a7f93,2012-06,City of London Police,City of London Police,-0.086051,51.513569,On or near FINCH LANE,E01032739,City of London 001F,Offender given a drugs possession warning
1379b260be7a5607f99a6037ec4c226b43b57357bce7b892ce832c6dddae4b16,2012-06,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Offender given a drugs possession warning
8fa33f225480d405aced1b464ac81f5e8fc3df595c02032f62c4ee7ecd0eb57f,2012-06,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender given a caution
4250a9114ca77ed0a490c1f482bba7bef9b41e9b2a0d30254eaba4337671e607,2012-06,City of London Police,City of London Police,-0.101055,51.513552,On or near CREED LANE,E01032739,City of London 001F,Offender given a caution
10359d754b83828c8945cead564c7782642f6c02fb155dbab6dd6975194925f2,2012-06,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
6285ca478180177d516af27d1e220bb4cfd2a79d8a828001cf48d4ef2114fb9d,2012-06,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
5c46815aa708e66c44265a00adcff11afdb64ca7632de9c057319d56d3c626a4,2012-06,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2f805f9aefc6fda9727f350c206990efd562cc4dedefbd4f44e3979e89aea61f,2012-06,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Investigation complete; no suspect identified
b26309cca39778e1a3996dcc4037f8272c8b86fdd6ebeb2bcd1233c1fe8c364e,2012-06,City of London Police,City of London Police,-0.097277,51.515307,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Investigation complete; no suspect identified
eff5cd4805147e3ee4b431b4af41cdee382ec54bbbbbff9add93142a725f7d47,2012-06,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
96d17b5c9ba0172b3b30ddedd8755652903e10c40a7d29cb633d1bc7280eac73,2012-06,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Investigation complete; no suspect identified
ee9b5e0e43428d4892c132df3c093c344516c02653c54ac6e68b44fb71827b47,2012-06,City of London Police,City of London Police,-0.094468,51.521853,On or near GOLDEN LANE,E01000003,City of London 001C,Investigation complete; no suspect identified
