Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cee3c7637edc2595d6d93a6419e3de7a687cfe0e3730f20169b7948513052b86,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5ca1ea84d4f64cf071474d87208adae8a506e12d09512068e1245c7252780fb3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4c4d95e132bd18384a7a4358e87facb069f15a8d91ce6e63b9bcdb5567baf8ea,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
26c0a0506752ab9f0df9afffe19a533aa0e6849e46f181be285a4fb517d1770e,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
54af91b5729450e08d5a4573bc08181dc6aad97c293d5d9668ca00182435fbe4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ebc284179e86669722f986c268e497b19e842348b58beac3db6a176d116ec13f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e26225067ae83823955e07856632dc1e4832fde503d1733b004ad48e5cbb5daa,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
962f00a028bf6e4be737bb0ec519d6cd1e4da13734858b77611de090d684a285,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9f612d73785cea4847d28623ba93210ae9af3c1fe094f5cf2f860cf7c4a4778d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
767d29310517b3c786271bb4525073449672f0cfa3d47a645c1b65460936c151,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e8f9d339ed5cc0362a77ee3fa8d02b6ed46b9a7a7bd2970b72f1708908d78f96,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
83d96253848862ddd1c1c20db8ef761881afb9949e6c098a47d4d7474b554c38,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6875917246003576a0d21dd7993f241520405a0308f8fe9f80dbdd1aac9d5029,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d6c0b8ddcf0295a15877637f0e66133a3af2e0dd118920e80f66cc2caad8bfe6,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e9775927ec0c97eb31e9c2420df4145f952fcd98ced5186939d49b99b1202f7c,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8903c34971d25e44dc3d5aacd5b6fbfadf29024f0029713091bb1f41f6a6b874,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b0617a744f87436b4e69c7a3fe49bee7c88fe7d0fba0453323922647510fe39e,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
27e6f175cb79b9309640ccd02ff48ec0a5e8a6d120405889075f89fa9fdebf67,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fba3645f5a5bc8b78aca36104ae49880d6f9a37fdc70ac76349c3e7024ca15a6,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f19a12035d37855ff5ed81b19d14b183f675ddef6f4b270fdb28c3aa21263226,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bb37e52fae33b60fd4a34f221b5a34fe4040f439d153441fd20f45074b1d9636,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b520ed705229fa362f9607956dbe19dd94edbeeed3af5cc8f65115b45aaf29ac,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2848791afc626c244be0d73943c2ef90a0531de9ba3fb8c0ffae5818e1523a35,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f66c2f7231e16fbdb744af3801ab645abe37e8c69fc271494fa03fa700c5fc70,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fd65f7585df11a5d99aa9d2c06625fee66bc07f73c3b7fa6adeb0352425d4b2f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
81ae8e1deb895727c83361a30821d6cc1158f2cf60d4bf9a3697bfa4475c7ede,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5c7aad19d609c2728306da937602165b82d0ffb01309619f9b2e1d60138757ba,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f5a16982157d6f0780a19892340e83f87c93aefd06b4cc6442ef589208c59dea,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cdbf97b199eb6a4e22d17b2cbb46abf16d656848f485daae6420c951adf6f6c3,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
