Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4192bae0de1c89ff495109e87da5a5aff6c00d563873fe1ab30e4673a3a3b616,2015-02,City of London Police,City of London Police,,,No location,,,Suspect charged
80941bf54aff277ba15e37a2d32a476aaab0332c848693746e7fb4a2815a869a,2015-02,City of London Police,City of London Police,,,No location,,,Offender given a caution
420e6940108b1567a87e1ed66e54b7680fdf12cee0a8e19899034c10696a39ec,2015-02,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
c6dd6292b848c208786c2f77f9e2617d85972e1eeb00fbb51a330effc198c668,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b3e1030918829f4eb324cbc4608a73ccaf3a316e03b626b1de0dddc04d35df4d,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
25061297a779ec03dffb7ba6530541f3ed51525cdb88163e147dacb335718ec3,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1f4383f509bd0a4829e29cd84a63f81978c75ce5d38a6b0032434a51159825df,2015-02,City of London Police,City of London Police,-0.097210,51.523156,On or near BALTIC STREET WEST,E01033490,Islington 022H,Offender given a drugs possession warning
a2fc8eb59e9f2cf6b344afcb6436b84b76b99634f1e2da96123a82df254bf188,2015-02,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender given a caution
ab8fecd69295a4f28e88e940581f7e9171995b75324a9f83c505df5f266e2442,2015-02,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Suspect charged
28fb9cf36768fe4d86fbec85344761a26f5afa3c1d59fb1a1fd281ea5ad4a82a,2015-02,City of London Police,City of London Police,-0.101794,51.516207,On or near NEWGATE STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
b7c83509b31a127fa11b60dd07243b03ffd269b09a448467a3dc45ed8d4b3644,2015-02,City of London Police,City of London Police,-0.077694,51.513171,On or near ALDGATE,E01032739,City of London 001F,Investigation complete; no suspect identified
ba92d469206eb0898bf01f749ee1d7a24655579032413cd9a49246e7f4c5323c,2015-02,City of London Police,City of London Police,-0.093465,51.514463,On or near RUSSIA ROW,E01032739,City of London 001F,Investigation complete; no suspect identified
fa3eb936c2786d1a675fccfb562f51a517e506088dda82e00a66624b4405a6af,2015-02,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
a185fe06288429bf748e8e86bb6f3058a4656c66766e056bf1f7ae7645e9d733,2015-02,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
ded09642892f80c6abc79853a52d2eac7c3be9f958a93f7588b3488f153ebcb1,2015-02,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Investigation complete; no suspect identified
7546f049a65bb6b55479334a48e9a237b355976eb091536ac644e01d1074cbfe,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8946dd14073d3377429cde22c85621465b0f96e8f0c00ec688d648f697837c5f,2015-02,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Investigation complete; no suspect identified
faf6ee563036eccebbb0024173200c2a7712cdb9c39976244262b8dac4d990cb,2015-02,City of London Police,City of London Police,-0.094464,51.512959,On or near WATLING COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
ba262fe1d1af8b22601c947f16fcbf6b37680a07a7af9959adf9ea55445d3278,2015-02,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
d1ac5980e74c760d7b6f668f1c45e0fb00562cc5485b28dcf66b56f6593fb054,2015-02,City of London Police,City of London Police,-0.102502,51.516165,On or near GREEN ARBOUR COURT,E01032740,City of London 001G,Investigation complete; no suspect identified
cc34dedb3e8422e45ec1453f64cdd72f2f1292daf73bfae4a99eeabdb18d3d0f,2015-02,City of London Police,City of London Police,-0.101794,51.516207,On or near NEWGATE STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
1357f9b264754eac6eb43a844a491bbb0b6217d0325260c77cab9afb5e3bb857,2015-02,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
36b77b8bde94e7f091cdb7911ee1864a14916f3935a6a0d8eac8b463f175482b,2015-02,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Investigation complete; no suspect identified
0592b2c97bb3e7c76670ad467dee1bedcc00861f658e454e9b2dd382a8607f12,2015-02,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Unable to prosecute suspect
a822483d3b131f422147d77da3ce8572a813cdaa9d2720bcb61430d2dad62274,2015-02,City of London Police,City of London Police,-0.083993,51.511440,On or near PHILPOT LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
2167de87f193dfe86569f9d25c949924b0d86f5772866b5e7ba02c41706c0824,2015-02,City of London Police,City of London Police,-0.088872,51.510890,On or near LAURENCE POUNTNEY HILL,E01032739,City of London 001F,Unable to prosecute suspect
6753a9476f9ff9ab6b7e8dfc67092ab5e4381b74bc03aa401d3ba371d5da2e6f,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
94cf4e9069aad0fac52781233194f93c7dad1a10ac6cfd80717a4921ad42b73d,2015-02,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
c2d81157c0fbfbf443672f4220d576d694b4ba46c40add250c1b1c4a2fdb3c5c,2015-02,City of London Police,City of London Police,-0.092321,51.513194,On or near PANCRAS LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
56fc18aa5b02344bb76bbd06e116e413a718ab4203a44dca39145069eee75a47,2015-02,City of London Police,City of London Police,-0.076044,51.512650,On or near INDIA STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
19fb480a3b236ec89a479014c5395c0ebd9cf90b1cbf20419c0339caedf23fc8,2015-02,City of London Police,City of London Police,-0.077694,51.513171,On or near ALDGATE,E01032739,City of London 001F,Unable to prosecute suspect
28c1dd73609d33514812cfd246788ae889994572aae282a90db4b0cd2705e6e3,2015-02,City of London Police,City of London Police,-0.104001,51.513051,On or near APOTHECARY STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
883c7661af8559a6b2aaebb07ab3c71750cdb1ec25926667433c8055e9826bb2,2015-02,City of London Police,City of London Police,-0.076044,51.512650,On or near INDIA STREET,E01000005,City of London 001E,Unable to prosecute suspect
534053aef0b360298e6732f10e44a89677f305c9abea620cab1068e180340c66,2015-02,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given penalty notice
f86a34f37b387df1e8978b5b25f2d819adc3cbbc7464ce11758c9dcc3949cc6b,2015-02,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
76cd2ff2f94f8468d08f729db5a4c6f0c949360041a5fad7cc61f77d73cc7843,2015-02,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Suspect charged
890c970d4359dd0b563fbe505a544d8a8df97fad5305cfb1a04ebe5e827bca01,2015-02,City of London Police,City of London Police,-0.104001,51.513051,On or near APOTHECARY STREET,E01032739,City of London 001F,Suspect charged
e30f34622cbc6d877afa8dcfb23c4e9f3a5aef4f57a6c04d44a79a2a510fde06,2015-02,City of London Police,City of London Police,-0.089040,51.512745,On or near MANSION HOUSE PLACE,E01032739,City of London 001F,Suspect charged
00b3af5f17fe4c5dbc88611757771c4e1d023d24a72e5297a3366527cb433674,2015-02,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Suspect charged
76cd2ff2f94f8468d08f729db5a4c6f0c949360041a5fad7cc61f77d73cc7843,2015-02,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Suspect charged
ccc347ae6a7f2db5460ff87a9346890b9d7aad13bc65a5c6dcbe58ada9076438,2015-02,City of London Police,City of London Police,-0.073152,51.512206,On or near MANSELL STREET,E01000005,City of London 001E,Suspect charged
fc31768da87eac6f0cf2e85925becc17d895f890e5ad6cca409faaa4e6a9dd0c,2015-02,City of London Police,City of London Police,-0.102502,51.516165,On or near GREEN ARBOUR COURT,E01032740,City of London 001G,Suspect charged
0e1d7e136b5be5d6354ddfbc05f43c778e1dd857c5df2de69583d2797a9e8463,2015-02,City of London Police,City of London Police,-0.076095,51.512462,On or near VINE STREET,E01000005,City of London 001E,Suspect charged
7a4d18d37ed9e0854cad346b49da50c5a159614d3971bd8666e3fc34af26047f,2015-02,City of London Police,City of London Police,-0.095960,51.517534,On or near LONDON WALL,E01000001,City of London 001A,Suspect charged
8373a1b63187501055586d70b4c9fe0912ee27b48a217f89808079ae84cd5e5a,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bd93381095bde8b96e4708fdfb87f997dfc7f67bf9588a82dac543f2e69ab362,2015-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b6bfe5269e0a97ffefa4eec298c7701c53c6bd7e029d6800bf0cf7d4d6c853f8,2015-02,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Suspect charged
9b1b2c89718c0ff5f55edbbbfa4efe3b53e3a18dd0f614d100a5e24881f4d35d,2015-02,City of London Police,City of London Police,-0.086051,51.513569,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
f96719b869299d7a0a0b369bbcacfbd7626569ae2702c785ba860a606e0c39e3,2015-02,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
8977a2f12df67b74a91f3fc0e56392394cf5425f87148cbc3ebb058678603aef,2015-02,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
49fa272ac222696265e935ef25796940019d6c8dbcb167ab2543ad31d31e477f,2015-02,City of London Police,City of London Police,-0.106922,51.514204,On or near FLEET STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
d90256488578cb395c46baa8898ed511ccdc7c1416d4529c7f634fdbe18efc83,2015-02,City of London Police,City of London Police,-0.096075,51.514766,On or near FOSTER LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
3846f4364349f3c3258fda81a1a07e5f5d503e7d1cb5785554348296a37c1de9,2015-02,City of London Police,City of London Police,-0.109826,51.516814,On or near NORWICH STREET,E01032740,City of London 001G,Offender given a caution
8b7574642cfbca2b9c2e735687dc384ed65a053e1f1c60009a4118b3fb258d0f,2015-02,City of London Police,City of London Police,-0.085173,51.518680,On or near FINSBURY AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
d25bb127dde1aa174ee8fb20891fcef9a292ca6fdfbd8fdd76a578d6f130e1b1,2015-02,City of London Police,City of London Police,-0.097929,51.521810,On or near GLASSHOUSE YARD,E01033490,Islington 022H,Investigation complete; no suspect identified
8b3160ff0a787e48b5178663a6fd1901d7297733f88627c217cc40b09e79e606,2015-02,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
58ae9fbfc26319a58ff88fed6ccff1ea689aa615d8adb600a4d1d76d0c102286,2015-02,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Suspect charged
da104054aac89a1e5d0f393b72eb3cb6483e63e700d222d1228e9e3445ec7824,2015-02,City of London Police,City of London Police,-0.094758,51.512829,On or near Nightclub,E01032739,City of London 001F,Unable to prosecute suspect
036878eeaafd9841eb0f8374dba0dcbd9bc51b7e4e1ec604096062be4320d2ab,2015-02,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Investigation complete; no suspect identified
7d08f4a5caa3598f644ee0ddf382693b9a63757ed9bd3d774426cc22081a123d,2015-02,City of London Police,City of London Police,-0.092719,51.512652,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Offender given a drugs possession warning
8b8e697a7f9dae0e656faa4b33cadc2346b8ef351b39ea3b5fc73896b1fdbfdf,2015-02,City of London Police,City of London Police,-0.108283,51.517526,On or near Supermarket,E01032740,City of London 001G,Investigation complete; no suspect identified
