Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2012-03,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
345fca18be81e21c2f19f90881acd1ee5aa138d233baa62e2476d6bd604f8045,2012-03,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Public disorder and weapons,Offender given a caution,
,2012-03,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.095914,51.520348,On or near Beech Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.095960,51.517534,On or near London Wall,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.095914,51.520348,On or near Beech Street,E01000001,City of London 001A,Anti-social behaviour,,
357232841289c34cddaaf1e5428a792f42781fe50afa2dbfc57ed5626020ca0f,2012-03,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,,
42c85ff97a35a091e8b1ecc20674910b845df12260221801ccee056e61f061a0,2012-03,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Burglary,,
cd90941043ed28481e125e4ca362a581c388a53b8801ed4b964d922b02908067,2012-03,City of London Police,City of London Police,-0.097053,51.518262,On or near Aldersgate Street,E01000001,City of London 001A,Criminal damage and arson,Suspect charged as part of another case,
52fac1c48bd2b3744b480af320d0bf3ff990b694c74b9831ec9efbb50743d2f1,2012-03,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Drugs,Offender given a caution,
cc25de3f139e89c3c3ad4c8413c9608180edbc4af7484d4db1a7c81363bc2903,2012-03,City of London Police,City of London Police,-0.098642,51.517146,On or near Little Britain,E01000001,City of London 001A,Drugs,Investigation complete; no suspect identified,
fb4e4be6c30f1d4c7404459dc47ed5295d8a608419abb86a873d9a011630a976,2012-03,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
49967133cfa129063a8179d47eb9df1fde17c6940167ad7f6181ef2c39337995,2012-03,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
b72ee62ee9cb8fd06c5f73b0ab3fc909c900ed030c9fd81f8b948e8fd4396549,2012-03,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
b18c6a389b0cd15ec7797b74ba57e90ef4a934605ab03bc9e4f07b3e51f975d6,2012-03,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Other theft,Offender sent to prison,
c07273aac98f2f6b0bfa145ac38926cd822fb8f20e47ec078b89c5e4531574d1,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,,
ed99f905e86c16d3f85d434fe9dbda6527d602586924885bddc17e4ab4432504,2012-03,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
aa0190e64e0ee0a8aaf870537f2047eda239bed1b16a5130a1c10315a21a476a,2012-03,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
6f8e3123ce9e006696cfd940e4f7e0aae63863122e7e674bb96f3df2e76a74ab,2012-03,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
6079471fe18dc407ddae91fe29b8cbc9e2240b25d3892fc23c7c64086708f61e,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
fd27678a7edd578e56bcc33a06107e006a8d04dda846c997ddeeb6c995251ee7,2012-03,City of London Police,City of London Police,-0.098023,51.519905,On or near Long Lane,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
1135a7d078a83507d155e3e6b76be10a85635f871340a7e4dca7a5937804fa9e,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
4f187f4c43b4bd81c682fe9ca7f95dbbd43d78bfe1878b3a8d5bcbdb99aa3370,2012-03,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Offender sent to prison,
7e5ea75f7487672e229bb780df14e4e85c637154eb176128b04766bd57bd750c,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Public disorder and weapons,Court case unable to proceed,
1d3fbeaf6b24bab6d804ed5ad11aef5fc895e22ce16b291ccfe84a912104c702,2012-03,City of London Police,City of London Police,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Shoplifting,Offender given conditional discharge,
4d836f28984e760f993784f65044b432f58768e53dea0284d4fe66d72081b2d2,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,Suspect charged as part of another case,
d2ba0a4a255f35c8bd5fb967331fe06ea0c2ed5ac126850a949a5b67bd3ab5c3,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,Suspect charged as part of another case,
6c8df2051a29f1ce44dd4fdb6312887ed2cd31b61343b6726e82bc939418ec2f,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,,
1ad39f82e0a6cf04b3a7df03c6b4b8b399f25013340770e822f77706e6b63e36,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Vehicle crime,Suspect charged as part of another case,
b7d492a9c42afca0a9b69e5dfcdf0e5aa607f1dfcf045ae423b5e3fa01183ab3,2012-03,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
32d45b563452fdeb32ac14bd7f27ef7bb5d59e54ed14976c7f62ab4f4aca15a3,2012-03,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
1883b32da9920ae74d40aeef1833865bf87ab879171b7abf1429b10fb7dcc8aa,2012-03,City of London Police,City of London Police,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Other crime,,
e7318227df67508da413bcf9d3da668f744a4d0d9f38904742d1f54956fdfcfd,2012-03,City of London Police,City of London Police,-0.095960,51.517534,On or near London Wall,E01000001,City of London 001A,Other crime,Offender given suspended prison sentence,
,2012-03,City of London Police,City of London Police,-0.092628,51.517920,On or near St Alphage Garden,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.092628,51.517920,On or near St Alphage Garden,E01000002,City of London 001B,Anti-social behaviour,,
cf353522584805f0cb5dbaef301b8f1c88be12dec85eea0078034574ea060022,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified,
09d59a2e79188bdef6b5187ce4e4a2fd2e7fa7a6d7113f49bb5ebb98b2f6e4ca,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified,
54bfcaadc40ce22482f1ce73d595000ac0694a5125696a0defc000b9f74f6c42,2012-03,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Burglary,Investigation complete; no suspect identified,
76e268b0e1692c8b37bf2dfeb5e40af5e294edefd3670a51e33e53dffda75828,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,,
53f5a4e0620afea20b7774ce17068439fcda9d3924a6fb973c504d2bc7be70e8,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
c0e23158562c21d149c2ea76555a42bb6632b638101eac68d9cd4d30c580189f,2012-03,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,,
4dab5db119d909b75f616a089d131701f9e28b83ad79e415170c6b23882e3415,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,,
70b4af3bc6bcf3f8b86430939f2872cb1eaea371682c7a0bd711af515704724f,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,,
21cdf3ce2998e584427980bafbec43e72fdaafd6a7991ab91e925d19877ae17b,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
a10f852be5f1e813ecc4bb0ffc909ac7d16bc02b92c21c99092b14df731eca24,2012-03,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,,
6debcbe4cd41e8090baf42db0e61485ed3d4b830d60a7f5d9a3ac2a5163f53b8,2012-03,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Other theft,,
c54c7bd41d637e02cd392558bf28f64def4eaca8f34622315f41685ee065bd5c,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,,
baeb9c38931c3057b13be5c1f7e630ad221bad52238061d4ccdff4be689a1af7,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,,
73f970fd4375f7e447baec4430cbe12358fb05a3092b76d24712c738bffde35e,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,,
bedacedd8976647c2f18dae04ee40df2975582e0e803f4fa2a5282096ea43515,2012-03,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Shoplifting,Offender sent to prison,
46679a073a25bdaf3190a927d9a343deaeb2e918aaa86efdfc0493bb19c5b200,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Violent crime,Offender given community sentence,
994317e8fd316d3cddf3e1a2c601dbb17881c11e95bb7f5d04c0829c839f3f1a,2012-03,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Violent crime,Offender given suspended prison sentence,
,2012-03,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.094033,51.520875,On or near Shopping Area,E01000003,City of London 001C,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
0a7def9cd04d1016fb231133bf049d53f09c72a49a1b10990623eccf02365dee,2012-03,City of London Police,City of London Police,-0.095377,51.520789,On or near Bridgewater Street,E01000003,City of London 001C,Criminal damage and arson,Offender given a caution,
8ae0b25e45353dd5b783e81d17bf3948cb8bc33c9e582f56ceea87e00ce51489,2012-03,City of London Police,City of London Police,-0.094033,51.520875,On or near Shopping Area,E01000003,City of London 001C,Drugs,,
63f4feff2fda9af2155ab7c5ed22b869490f779c8438187850d6ba0061db666d,2012-03,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Drugs,,
,2012-03,City of London Police,City of London Police,-0.076270,51.515504,On or near Gravel Lane,E01000005,City of London 001E,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.073254,51.512856,On or near Mansell Street,E01000005,City of London 001E,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.076435,51.513627,On or near Aldgate,E01000005,City of London 001E,Anti-social behaviour,,
,2012-03,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Anti-social behaviour,,
