Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
acbda747ecaf76bc81d2146b4d3a5eb86933bee47f59df54127561a65ef48bf7,2013-10,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a drugs possession warning
c2edd457111a6967bf0a8520ed77bc436fa6c51b519d2e157d3daa5ecb67eaee,2013-10,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a drugs possession warning
9a4f42883082ea414bfcf31dd4ddef70dd1c23a788c97b060bbf55e0b3669c1e,2013-10,City of London Police,City of London Police,-0.082571,51.514753,On or near GREAT ST HELEN'S,E01032739,City of London 001F,Offender given a drugs possession warning
9e26ebaeca621abfd1fbc22de25caeb6a1643b26286cd514cfec27bf34eefb66,2013-10,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a drugs possession warning
6941074d4ae8203eb9b1be08aea89d3fb885d0ffd33ce8d1313d36bb3cdbc562,2013-10,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender given a drugs possession warning
4d840f0fefe8add0cf5f99b747b93b0032683531932d7dadee67ef0a5d3de4be,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1b50c83b9343e756cbf98b225ffd602802bbd2d71a218f2674c3d88641cb3c9c,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2f0d2ec1570e9f449d59fe51a8120ace2b0f2e4aad48c53311ea2a761aba67d5,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2ff85373f47f8b8bc60da9f31fba4482e4507ef928cc0765bdc03429a8bf87fa,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ac4eb84a50827a29e9c32feddab33af67102b62efa925c3f184e263c28e462d6,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
dbb1d60b902cc710c187daf9829a9cff39d63a8ecdfa4200e5519a2a3e15179f,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b0c63536a9e1d986e1bec4ea5e49bc1d640c085c7af7aad0944c151a93c79286,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
50c58b2c8f6dae82129c6b59229aa9e3e89ea86a5ae615ba1eea252ee00eabe0,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b863ee27b480e855e81ae28cdfc358be9f9d02d398e9e38d2497c70c7892f90d,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e738111c025f4b5ae7d32b34785360950cdb6516f38aeedf8ccd506faeade1a8,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
637f2deecf20e760375af50e62b1b999fb21b30aa1ad2cdbbc720282bc0e248d,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c1c73606e12d92fc63ef021be04edc09b8bc0eb266505eeb613eb6089c8d214d,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
038f4666c87e028d5b57825c7f5709a38088e5a4c167b14d39d5a19c4c124b46,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
18902f40e4e7c7243218e7a0f3d5cf2936e1b36f0aa3260170a2ebd066a484a9,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
1c79091198d23a8d37eafe54ba62a1540f1dd14a453a7821d4d52409cb8a07e5,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6e9e99e68c7c5c0afdb4dca9acdf619ffa54925ca0d9cb76c5d3f725550f7d69,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
27f11227cc2e850a6689b8951c8429abfdbc53cec2ba495b7cef5c2df4a7a83e,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7fa4e56316ae5e2f3393d416a3ce3070139139a2f665a46e43b2df0ade40489f,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
aaec75401fcd3374d62a06f12b0ab1dfac9f8c9e5f7235e5d23b0f84d91a474e,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
852edd0bc2c67b7aed823c494f5f9983824992e72f49ba82c1caabb895f78165,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2e9a88ea81c98bd8b42b753b38df1ab9217e0340453c0d92bac87d30cd02828b,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
006609e207b580e0b1cb5a6c602bdcc20e851e7a39e60c34d15c841d65b2de8b,2013-10,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
c3c10c4da17702a8bc9f7ec8130eec49f201867d732cd2985eff7cfae5527441,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2f3f8e12ba7acd818a10ad32945fe086c967ec9d25e8db31f59c7250f1e7fd8b,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
f91806532f3f1066a78b9b5b98096da3e167b6a9b973029f7741bfe446dfbeca,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a7b6c9fb3d02ac2ac7e3e9192cd675b08b41f8ab524df7be415810e0494aea17,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5d1360aedf2bb5c3cd0c3cbf4c735254318c0887f6a1ed473e7657f2f0def4cd,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ed0c74689577665c898214dccb6375e98d1ab15e4bba3389dbee04e0eb50a10d,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ee67cca000af54daeaac3b13a08a68917a6acff45af4d135aa311643ec584466,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7e06579abbc3cf190ad42a32daa0d8b6d86652286cae993079438b93ab33e43e,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6df96c55a7a8d82a28863803998a69b528f2acad0fc70a4be0a773aa40210b8a,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5c798b4b7aeb25b8642280f08fb486b91f3b8ed0d09ad13d823cbbedaaf2428d,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ac902fa4ff7b2bcc77609aab60a6a281c85ff8626db524afc94d0fbe93d63527,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6f74bd890b6deee13a0a934562bd9234929ba104516b674d22957abfa3267033,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
11b3ec3b46c3dfff53db556c01682241a2c5581df498617b06447c966a02db43,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8aea99068b1aae771a619876bbae0105f8eab911ce053799baf20a92b6f06172,2013-10,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7b035215a85053c8cba93bdc50936edc7813010beb86deaa1f5c143ae98e388c,2013-10,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
795522baaba9bdac535fc1d2000e2e2115e0cc62529df82a6b5e099100b3861d,2013-10,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
