Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
313f996dbb6715a20aea85727944ad644e8ec62ee5c7ffea305013de022223b1,2012-12,City of London Police,City of London Police,-0.106453,51.518207,On or near Charterhouse Street,E01000916,Camden 027B,Other theft,Investigation complete; no suspect identified,
,2012-12,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
,2012-12,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
,2012-12,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Anti-social behaviour,,
,2012-12,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-12,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
2161449d2862a7b2f35b20dfbbd7e2d51b31156e187bb116f5960dec472b2233,2012-12,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
9571e59c6479738ec900e44b17991fb90a4a4d62f730740c79d2ba3c15a01483,2012-12,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
03afdd1952971069fa31706212a9179387dd7b56645ad7da734072755542de86,2012-12,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
1b82154e1561c37b47e492ae54c90a63d3f4842550b2b5cbdc92b2b9fcd8506f,2012-12,City of London Police,City of London Police,-0.097053,51.518262,On or near Aldersgate Street,E01000001,City of London 001A,Other theft,Under investigation,
a8263cf611aac779666cf73c9d5c45c68738888b43567b3459286b8628a52696,2012-12,City of London Police,City of London Police,-0.098023,51.519905,On or near Long Lane,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
a9c1de1b8497bf414ae9c0819ec0faa635cab75e0b67d8ee993a4fa78b0abf99,2012-12,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
56c5e36d40b37b9ceb1aa2e0d4c55fc539868ccfc244dc228ce8678f42a91fc0,2012-12,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
431accdfa5197582ade96c339852ff8bc76dd6c971f9562073308b167fbc81ca,2012-12,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e8ff7b3297faceb7d82132fa65d3313498345f14c6f03af05daf98b55da92e80,2012-12,City of London Police,City of London Police,-0.097053,51.518262,On or near Aldersgate Street,E01000001,City of London 001A,Public disorder and weapons,Offender fined,
debf7435e890efa12b205f6a0c9f978e23e2e48f005368c42d5a09c25013c491,2012-12,City of London Police,City of London Police,-0.097277,51.515307,On or near St Martin'S Le Grand,E01000001,City of London 001A,Shoplifting,Offender fined,
c148452cf212d07066f5280a0026adfdea19da1d4a0ea53ad669e87171ecc69b,2012-12,City of London Police,City of London Police,-0.098572,51.516767,On or near King Edward Street,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
