Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9d86afb32254095fd506ab0b2fbc7704cd433da564b6b6615a296516a86dc35a,2015-12,City of London Police,City of London Police,-0.099907,51.512031,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Offender sent to prison
16cf96fce71c01b49e78f9e9f196367c90dfe665e8370ee6808833933d62754b,2015-12,City of London Police,City of London Police,-0.103494,51.518654,On or near Shopping Area,E01032740,City of London 001G,Defendant found not guilty
3ed2bc3e3db4ab531c6e4b174f3054bb2065c151a6e1b1f89d4bdca5658a8856,2015-12,City of London Police,City of London Police,,,No location,,,Suspect charged
976a4e227e948df2003a164e1feb1f2154f0402544d61c55e0b6f6a51ba5d02e,2015-12,City of London Police,City of London Police,,,No location,,,Offender given a caution
f478c7c28fc1320db4c9ae13d866064fa965b80210124b15aa47fa536a4d3baf,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c9000daf23f5701cd532a37e57dca9543b26e336134ac63495884d9eb3b0c11b,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0433c27e82a8310e57409fd9737b4c1c3f2b6175c03e2ffe4da2218252a70daf,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
43c126d46aa822a62f959a0414243a4a599e211c628352ad4ac76d868a1e9bed,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
65ce74f2b3a8867bb472e8a0af84b6da4aac160ac4b0827ffeb5f12e4a1168da,2015-12,City of London Police,City of London Police,-0.105134,51.513869,On or near BRIDE LANE,E01032740,City of London 001G,Offender given community sentence
3ab667c664753b93e2fd84974ea875f090846428dee7749adb896ccc566e29b8,2015-12,City of London Police,City of London Police,-0.096814,51.512952,On or near ST PAUL'S CHURCH YARD,E01032739,City of London 001F,Offender given community sentence
39de8dc91d4d8574d922d6ae252492a85e48794d81bf760d136c1e43cb551138,2015-12,City of London Police,City of London Police,-0.076435,51.513627,On or near ALDGATE,E01000005,City of London 001E,Offender given community sentence
057c10acfdbe13f1e02c1203df8f9bbd953672f6ff2d69a3f21ea5bb66bc9291,2015-12,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Offender fined
2f642b231ce090021d717d2ecc586c00f5f1c7d084dce69a13eb43d537d78252,2015-12,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
425b3a7c47431314c8bb99e58721b68888b83d8755b1d948a2bceb3e2f83c171,2015-12,City of London Police,City of London Police,-0.108018,51.511749,On or near TEMPLE AVENUE,E01032740,City of London 001G,Investigation complete; no suspect identified
63710ff848bf94b94de6ee7a8602383e19bb0de58baf0c10469219dbf14d5831,2015-12,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Investigation complete; no suspect identified
97be9edc2687f0d0a707f3fe31f325834ce256cefefdcfb959e5b7bd95c01718,2015-12,City of London Police,City of London Police,-0.102380,51.517728,On or near HOSIER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
fd6ef6725b6047a30eed2316e722a83941581da418bcfb0eda9f981c81c4e960,2015-12,City of London Police,City of London Police,-0.102412,51.517297,On or near COCK LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
ec9fe11f5625bd15cd06bbee88729ec96735217ce8b786cdc5414c5a82c0fbd2,2015-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
63b408e24580396e4da50b057284f4bcb819828892436b4604ffa244eb88630d,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
11209e40239fea3ba966b8ed38b6ce92a4581fa18d774776736e1ab2babf844e,2015-12,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
478ffbcdf4cff388723a22c6c43ab8edf82ceb39a5efedffe340892be2c86cd6,2015-12,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
738514db8167a6ddc120c804772b5d315f0f5aa0f3be4a6908234b98e5fb1bdf,2015-12,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
813a9bb04daeeb94890d2c15996a6001aef3eb896453a094e4333192849828d4,2015-12,City of London Police,City of London Police,-0.083645,51.512504,On or near LIME STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
669d2c7279182949c2205bae5003264c2c530a195c37ea35e5f8c1ecc41b7189,2015-12,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
b57ff6a0b42de89ad9c1aa1e8edefd2cd0203184b5aaa9ddba60c56439bcb47d,2015-12,City of London Police,City of London Police,-0.106680,51.515882,On or near Parking Area,E01032740,City of London 001G,Investigation complete; no suspect identified
d1dc7c135ac2bf0ed0efcecee862c3b58c985de2f630f6bd19dc49e13712bd8e,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fb9133d481757a99c6b2c00c4ed5b723d1be62e8d1a61883500ed005f09dc22e,2015-12,City of London Police,City of London Police,-0.106922,51.514204,On or near FLEET STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
c1f7999498acad5255946134cf2197ff062eab4a63764a0806f74104b356b970,2015-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
51699d6e556d1757a2d294082813aa50dbf69bc6569f5a5c9f82266edaa74a30,2015-12,City of London Police,City of London Police,-0.101575,51.513857,On or near LUDGATE HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
c05fce7803e49d3fa44261075ea1696d1252e3a335d854a02d1263f3aa856d0e,2015-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Investigation complete; no suspect identified
b8e40c6f114eab1c75db92c05a68f106eb91d1dd7d09259758623825d90705df,2015-12,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
44bd9b1c03124ffbbeba2c179bfb3f847a2a43685edd221ece5d5977d0bead96,2015-12,City of London Police,City of London Police,-0.085173,51.518680,On or near FINSBURY AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
d8b7d5c29436038e218b51b132653ef4c8696cca7bcf0993ba7adc9b4ec84991,2015-12,City of London Police,City of London Police,-0.110735,51.517836,On or near Further/Higher Educational Building,E01032740,City of London 001G,Investigation complete; no suspect identified
d0830ef6eff570f33b6d440dc96950be0e4c0fcdc7f05cb0a25e06ecf553bbba,2015-12,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e016b18bdb07a96f79a2669194659a94462b84b0001d8924b39aeeaf978f4467,2015-12,City of London Police,City of London Police,-0.108453,51.515173,On or near PEMBERTON ROW,E01032740,City of London 001G,Investigation complete; no suspect identified
6a482cd64d379eca50602349e88dd58fe5e7d08bfa70de3f3c10d29b72e6c021,2015-12,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
b02c5427f803af8936b5f163b8ada32df03794ed79ac878c2effac6f29e95f31,2015-12,City of London Police,City of London Police,-0.084566,51.517690,On or near BLOMFIELD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
75f1fdd68681ea8d41cc93c88781035d35682e491ea084d4511cc79e6ed54ecf,2015-12,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Investigation complete; no suspect identified
2c594635b604aab89536c729a125042ee46f66f5d5ebd47b8f3fe770cca67538,2015-12,City of London Police,City of London Police,-0.080782,51.514804,On or near ST MARY AXE,E01032739,City of London 001F,Unable to prosecute suspect
09e6a5a37626da88399e8b4d8ae0cb9c5f8d2acc96a9681e5f1c312366fa52eb,2015-12,City of London Police,City of London Police,-0.086764,51.510307,On or near FISH STREET HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
c11c4c412ae0ff3961acfa43b88875a3037dc53211834f83bef68f3a0ad4c6db,2015-12,City of London Police,City of London Police,-0.097601,51.520699,On or near CARTHUSIAN STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
88fd24640c4dcfdfad21ada61ef206f8a8c54d1ebce1a4b52c256b47848b91d0,2015-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
584868f7fe24a521fd99608a552ecd19f7528624a3e29f2b91dcf4417f85a126,2015-12,City of London Police,City of London Police,-0.083993,51.511440,On or near PHILPOT LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
fa244e1d754c3d779f3d29062883f05a86d46f6e7aef65c4f1746781ea60e5da,2015-12,City of London Police,City of London Police,-0.088872,51.510890,On or near LAURENCE POUNTNEY HILL,E01032739,City of London 001F,Investigation complete; no suspect identified
a4996d33c0b40c17412fdda18695918a465894a968c0170773480dea02ca47ae,2015-12,City of London Police,City of London Police,-0.112039,51.514547,On or near BELL YARD,E01004735,Westminster 018B,Investigation complete; no suspect identified
05a66d1c62229082612b117b50c5ec1ada3642f11b971e7f69d270f4bf9d22fe,2015-12,City of London Police,City of London Police,-0.090419,51.514917,On or near GRESHAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
f6b38ccb34265df500a681255ebaa13273d52f30e1a5aa14cb469a32580a59bb,2015-12,City of London Police,City of London Police,-0.096814,51.512952,On or near ST PAUL'S CHURCH YARD,E01032739,City of London 001F,Investigation complete; no suspect identified
093dc57e8195bb83919890ab6935aefb5b58bff837e920a5f8930cc28af8b440,2015-12,City of London Police,City of London Police,-0.087760,51.517149,On or near LONDON WALL,E01032739,City of London 001F,Investigation complete; no suspect identified
415ee59a125891d8e88316a9e8ca54dad7a2b19d9d2b228e72ac0b3b1e21fe81,2015-12,City of London Police,City of London Police,-0.084095,51.516900,On or near NEW BROAD STREET,E01032739,City of London 001F,Unable to prosecute suspect
7abc6836af06c2df7e2f7564cfbcdaa3e3c356f2814a20027174f9b341cf44a7,2015-12,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Investigation complete; no suspect identified
7c23accd47708ab2ef1e3ea28c9e7656fb0fc3d73a9d1cad25ee3cd52cdc6646,2015-12,City of London Police,City of London Police,-0.086272,51.513114,On or near BIRCHIN LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
