Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
42acc669d6a4a8df315b1818ecf8706e67b51bc91dc5524daa6db8ec45f354ba,2013-12,City of London Police,City of London Police,-0.080665,51.509344,On or near Pedestrian Subway,E01032739,City of London 001F,Investigation complete; no suspect identified
2c5b36be82b8e7b7e88ffd4035e8635ce5f7e0525dddd3a62c326be0f8b193eb,2013-12,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
b703d17c57fee85fe6897134e817a00ceae9792a057acbd2311712f76f7145a0,2013-12,City of London Police,City of London Police,-0.077224,51.516122,On or near Shopping Area,E01000005,City of London 001E,Offender given a drugs possession warning
9a783dbcaf2e86d300ac6ec37c241ecae1fc7f7fc33cc4afa4a2e84d93ba8e42,2013-12,City of London Police,City of London Police,-0.110592,51.516062,On or near BREAM'S BUILDINGS,E01032740,City of London 001G,Offender given a drugs possession warning
6fc3bae36a688625fb6b055de834668f90e01b193cd49679127d76eacb0b244d,2013-12,City of London Police,City of London Police,-0.083993,51.511440,On or near PHILPOT LANE,E01032739,City of London 001F,Offender given a drugs possession warning
03baea71281779562b40df6a9ea32962dea1a340c8cdf604c754fa7eb04c77af,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e16b9896610a1234ecbdb885314eab2c8241204da019ee384ae13ee73d68e4e9,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0d1169e94c1efa44560d39f310445696077f897b7810cb0b592e3697642d4066,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
a97a5f44d8063910d8d3718369745b53deef9e354eff57ac3560d6fa5d71558c,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8019f4f093c7ee276fc7e7d38e5a0f8b0aeddf73cf3ee9ecc7f64fd009fe6d9c,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
56656cb56e40c672ec152d91ec9579cf14936e1b1932cb1ed162540f625b5955,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5602e6b777c9c488ce6faca1c7fe994e54ae5e1103bb32bbc5f3983c9e49c22f,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
617f97646a4b374b24bbec65c94035bcc89d5bf00d816ccff54668789da7d8b5,2013-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
