Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
900ad82f524a08c5347e5716123137c606cf28acc14a6da11e5e1f6b5607cb4e,2012-02,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Defendant found not guilty
c989c79603102f914fbaa3ce21175a1bc77bdfa28603d999e7f9bd020df346a7,2012-02,City of London Police,City of London Police,-0.091720,51.513454,On or near Supermarket,E01032739,City of London 001F,Offender sent to prison
ea67f68497566c94cbc1ed56d2fe4ab7c0f0ad23a63821e49007ffa963140921,2012-02,City of London Police,City of London Police,-0.098777,51.512526,On or near KNIGHTRIDER STREET,E01032739,City of London 001F,Offender given community sentence
f04a28a1e92df489dbb7a0d9aee99761b35c7a74f352da9105707e2a653cb69d,2012-02,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Offender fined
29bca516ecb974619485defb7db4d4aa9c25aa6b77e319259effbad578e23d8c,2012-02,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Offender sent to prison
ac148c8bbb0e44d642ae4346135155903974f35d02f1a32d319373aa33964829,2012-02,City of London Police,City of London Police,-0.087760,51.517149,On or near LONDON WALL,E01032739,City of London 001F,Offender sent to prison
82c6f6c55eb9acc56ba766296fb060530b6fe96622acf71407eb6249d3564c5c,2012-02,City of London Police,City of London Police,-0.101575,51.513857,On or near LUDGATE HILL,E01032739,City of London 001F,Offender sent to prison
2e393e47541bcd3e8f257bd2758eec7d9334900fb93c52148bb5dfd595db1cca,2012-02,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Offender sent to prison
418f259c14ee899c9a3063ed1a70f60588dbfb5163030bedf803f6c7a211ae86,2012-02,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender given conditional discharge
a96355cc1da057e50caaaf770f79991805cd4e35d0365c4beacaff52ad8c6e10,2012-02,City of London Police,City of London Police,-0.097223,51.515225,On or near ST MARTIN'S LE GRAND,E01000001,City of London 001A,Offender fined
d3ee4ad55cf5435877bc0b3382a32639206a20d1592f7fb5b0e926577afed2be,2012-02,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Offender given community sentence
5b1443309dcf6e1f618ea655f910dbfc912fe58238ec89a216f9cc7dbc9f0d70,2012-02,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Defendant found not guilty
6c8ec7fc9774bb26f88dc65c62e4f83a0b3b53706aac0b73625a71b75c937b82,2012-02,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Offender sent to prison
694772057d3bd6331c3ef1a9d4a8ff69abb2ff1d0be27433582f11098805a67b,2012-02,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender given community sentence
a5d241693382a2eae21d9b3b4d63c92b35d8039ba1f19469f55195b324cb06c8,2012-02,City of London Police,City of London Police,-0.104909,51.517912,On or near Parking Area,E01032740,City of London 001G,Offender fined
8ab09a8d011dca30cca739299b61f5c167501f3f85f8579aced606202773126f,2012-02,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given community sentence
01b2700b36cae4fafb248562fa209350a1e7e8c3125fc57e0b6c5ff22e41b696,2012-02,City of London Police,City of London Police,,,No location,,,Offender sent to prison
0d1e4e76747f1573b6be494010847758fa86dfd446a5b4b765dfd59e361b7d8a,2012-02,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Offender given community sentence
9f60cdbb6e43282daf969e2da7b731a51484c62ef32be341aae8f8fb1472d32d,2012-02,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Court case unable to proceed
6abc47e70fa40a004323d20801fa873fe89687d6271759e5c2cade0114aadfc1,2012-02,City of London Police,City of London Police,-0.083086,51.511407,On or near ROOD LANE,E01032739,City of London 001F,Offender sent to prison
b9207cd27bb065adaf131ee86fe3c96bc5b923b50e54424bd58a35aa4daa0cfe,2012-02,City of London Police,City of London Police,-0.091720,51.513454,On or near Supermarket,E01032739,City of London 001F,Offender given community sentence
561d11351915b54680e19de04b20b91d17e96c0a7769d247225a11bb0ca9c15d,2012-02,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given suspended prison sentence
234a73ac18dee057f5fb1dbacd199c82979314f3ac0907e9efa314a1c3fdb14a,2012-02,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Court case unable to proceed
e577f9d0a500bf961edf2adb01863123cc3c6322ccc6522dbf9b9fdc4afc84fd,2012-02,City of London Police,City of London Police,-0.092625,51.513865,On or near CHEAPSIDE,E01032739,City of London 001F,Court case unable to proceed
b1c9fa160ed98b2f2f5cfad32770d9c53295d0b0c38a7db5595afde7496afbe9,2012-02,City of London Police,City of London Police,-0.080244,51.511828,On or near MARK LANE,E01032739,City of London 001F,Offender given suspended prison sentence
6a9afb9d589242a29f10f78559fceb784d3af31e4409913ad737400ebb03dd86,2012-02,City of London Police,City of London Police,-0.077300,51.512607,On or near CARLISLE AVENUE,E01032739,City of London 001F,Court case unable to proceed
09d62953da75f5941d5eaee555bf629902c97f9e9f9d64d857417456f0bfcf05,2012-02,City of London Police,City of London Police,-0.112519,51.517568,On or near SOUTHAMPTON BUILDINGS,E01032740,City of London 001G,Offender given community sentence
697a6b311b58f13573f991721091efed47e1c2e00793ee6d939cff129931a0dd,2012-02,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Offender fined
dc94bdd1632336e4734da1359c03be99e523e01b87be4cc4bc2da8034200f445,2012-02,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Offender given conditional discharge
12b09878c5a5a69aaed516b488e07f7ddb1b38082bdd025a59bc89e23e8e66ba,2012-02,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender sent to prison
8f0a04ac8aa3da010ce5beade1bef877c7501f0800c8f948d1dc895ab1abc1ec,2012-02,City of London Police,City of London Police,-0.086624,51.511923,On or near CLEMENT'S LANE,E01032739,City of London 001F,Offender given suspended prison sentence
9bd5c4caed60d1643678eaa6b24d019a9d875e99c783a87f0aa7ab97e04f9610,2012-02,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given community sentence
c5fa2dfa1a545357efb37c1873c010f53c6b7268c4049c172d5d92a8d1db3f86,2012-02,City of London Police,City of London Police,-0.081516,51.510014,On or near GREAT TOWER STREET,E01032739,City of London 001F,Offender fined
7ea65b970fd2b9732575498f91426994601415e04770658d138e743e31e38419,2012-02,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Offender fined
