Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5b4d99b80509f63cf081c88e66cae77c3ede1f2cc49344b2e3aa8dbecfcb70e7,2014-02,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
d31412ac9017a3cbc2f5f43af24ae66e38178fbe53abc06cfd09951ba92f9a14,2014-02,City of London Police,City of London Police,-0.077637,51.511453,On or near CRUTCHED FRIARS,E01032739,City of London 001F,Offender given a drugs possession warning
df628c601ed7fafa6e8e080c2c291d31e3ad7cb1131ec356dd1207543e9dd60c,2014-02,City of London Police,City of London Police,-0.098572,51.516767,On or near KING EDWARD STREET,E01000001,City of London 001A,Offender given a drugs possession warning
aba6225ac03c6cec3bb42bb4370609e19a5703cf848d67fb24d35a38faef7262,2014-02,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
cb0739c1584241d5da3864c382aebf0350252c525221a532b0f8754975768989,2014-02,City of London Police,City of London Police,-0.077596,51.515849,On or near ARTIZAN STREET,E01000005,City of London 001E,Offender given a drugs possession warning
9651e54eadcc10d35a97b76823cf93bef134fc0e40ca6e9c5f5b499a9760d835,2014-02,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Offender given a drugs possession warning
bfbef5e2e167bd8c16c59a805ffa815b833bb7d5cc517818d44386ea638d4442,2014-02,City of London Police,City of London Police,-0.090203,51.511118,On or near SCOTT'S YARD,E01032739,City of London 001F,Offender given a drugs possession warning
d254a9ec68ec0fdce5b00123fc0ccca5d3affed6167ff0c1bb4f41926f6dab7b,2014-02,City of London Police,City of London Police,-0.077655,51.514088,On or near Pedestrian Subway,E01032739,City of London 001F,Offender given a drugs possession warning
939d1d2cee28878c2e934fa718e50072ef92cabc9c7f8c5693cb525870accfa9,2014-02,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
2ee5b053c57ac9832556efbc5a5640300ec7376be0e3b08aa88beb368b2a3164,2014-02,City of London Police,City of London Police,,,No location,,,Offender given a caution
b737cc25e9a026dc4b4ccc5c854c9b7bc562717199542d2a55b7c524e818a34c,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fbe5d0b2f82dc582ca86b08dbbe02d78e957757d226dc8ecd2e6dd5349da4813,2014-02,City of London Police,City of London Police,-0.097334,51.521567,On or near FANN STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
8c3187e8e7985f9a51f2a3d3289bb9ad20ac686e28ffd17974343a7cab5a57fe,2014-02,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Investigation complete; no suspect identified
211e3a9502453c108bcec176d52db4b34dfe8c6b5ef77a57c5c264acc3e018bb,2014-02,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Investigation complete; no suspect identified
792c46812e03883d404e86879726374a9601fe2a98c8652ac4f6e1a5130fd99f,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b99f3d993bf68a2998a0c8162ef5ee7e20b32c42247339ac2a859c5ff3f4bfed,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
eaf8b9557fa8e7df3f86d7a232c1e5ec1864b8380794caf21ed2f2339d775c8b,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
23af88c84ba43f17c4952f8c1bfb4915ee94b0fb3902a2e1cdf350a7ad77c88b,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4ca08a524125a638a5e488dc42b333f0ae8731be0d2ad1f9573378844fbc9d5b,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
eaec1b11467d75c45bebadd6f642e3f3268b632974b3978438b9e1c03ebac804,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cc4588b62b653a318f8a3d97d06969961449269d065acdcf653036380df7d5d3,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6f621e39c8949090ddd52f397b322b9b28e1bf1b5901c949bf25e20c4c74edb6,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b991266747fe54a59c1dc0a721aaede363a61e34a57d1215ee04a79aed47be1d,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
77ab9b73f58fd8615847371e009be60eab4203f84b3f67b987c11b2bf2fa5e73,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2dee656c878330d38a97196b3e3bd59b65cf3e16d39e699b5d5d7f3581108be9,2014-02,City of London Police,City of London Police,-0.089698,51.511812,On or near OXFORD COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
c0012d0b57b3a8199f95a52b4700ac88f7d3e211bfbac2180cdcf9b4d68e9200,2014-02,City of London Police,City of London Police,-0.077601,51.518799,On or near STEWARD STREET,E01004307,Tower Hamlets 015B,Investigation complete; no suspect identified
4117efbedc9a9fdbbd644cd52b1cbc40c10eaeab43cb657da79cb8be8574ff66,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
466403c24ae143e950c9ff1bbc8b6f7e57f3e1e42f69378bdaea5bd9ac7b5bd0,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
01538f77557fe674bb489836d38fd17f0973f2469ab63eecad1687b5a6dbe529,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
84bb97b6a6b4712d3e2890cb9d44f2d1fcacedd0e07cddf8201398187c7ba26a,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
18ad73e41ac512ca8d7a215b49abf07d5899f4d5a798234d28717cd32b1a5380,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
05f81e9a68aa866119bd01e0582a8ab46fb613187245b6844a2de757521daee1,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3c212935b0859a39e68323fc39f31fcddb60efcc5b357ffdc21bb3beb6c7a096,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
339b1b29ad08e0ba9853f48067c04c5b4cdc36e2a9efa1d7c20f1dadc055d569,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
074f5c967e20404a51fe33824f84d725e3e87ce65cc98885a33b37f085bda04d,2014-02,City of London Police,City of London Police,-0.085833,51.513952,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
32a4f44958bdc3f2c7b3cdea878bd7936e382d47a8d0f3eaf039b83a173d2dde,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
dbea8ad1d9ee93a6ce482a183c6504dad983d4be54bb2ecb3c09b73908b85548,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
defd0999fa3b7b70c5545a02092fa94d96130d4589dc30f334ea3019d35befc5,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cd2e949a8ccc87e8fe868fcd51bfd83c2141fc5faf7b3c2291a349b3f070db0a,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7b2a29aef42177a4ab76da95550da40835319a5602f50b48034377e67d7dbcf1,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2659bfd79fcccb7cb005f2d3f6d839ce5ee4e0193748e702f688b5a92d756e71,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b39e867e328c3931e99e306f3332054225e4288d84bdb47722e78a0010f75210,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
cbc4a474e6865ae7728e5d31eab2526c849fd64c763b43f5d8e23b49e69cc373,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
14a307ee0ed2796d696d4274d46209504fed46d4ba9e4078bef23cae51aaaaa1,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b274b9566edb884220bbc7c3f831dd20b9099ccdd66e10729a71e2952da0cf1b,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9674d8f2752069a8bdd13ad561fb10d34d3d7130c716f8193857228763c8ea69,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
bbb6cc9300f44366ac60b03c327658a43fd575de2323142066b171bcddc26401,2014-02,City of London Police,City of London Police,-0.085669,51.515100,On or near AUSTIN FRIARS,E01032739,City of London 001F,Investigation complete; no suspect identified
b8dab78f9a7b9f55c6097340b7aaba429fc65470acafe7a6a5eb5a59f8c790da,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6035d37fb5ca180c955af9ceeaa6cac8259deef75d14f186d84a09f0dbc22a2a,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7132781c8765fead0f26a313924c75c1070441de6c6f65979b737eec4b6d1292,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9b76c7d9417298ac9261aa86fedf6df208805ecfa49e99f6f4f7dd0310addb44,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
765e34373a39360b370b2ffdf93df596e02e0b9439cf20c149bf9e01c4305174,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
fa8b2577c685fc32f8aa1306a9775a2109913f359d655bc2007da63afcd038a0,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2fce912ef2ed7800940f44bdbe875cbfca625438f0ac283783752cd24f7c9ae4,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
acd686466977b830cb847671dab90580586ce31f1acf4759785092afda4737a7,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e0997691f8b2bc5132f91011436943f0611ca882a5403377d034147dd472fcd4,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
e3252781421f93365aee6951b66c7613b66165e03e48a3c4a9cdad6138f63d2f,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
ac4585ea3911cacab11ccb585333a256a42d60e88212aa9cd3fdb32f2e3ea6b3,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c573d896f2c41f484243f606f561d2ba0c70bc0495f98ec01e9d38243eb1736c,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
22524e959e279da8f974d5df516e98c91c2609abea027f002d6ef1083d792316,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
44754a966305494b5a7636f2b9d0d732473bf3c28f962aedf1cb1e2b7e43457e,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4ee127658e2ac655cc0e2a3760e29f9165581743de037d073731bbda4aba2e5e,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
15ec912bf41b3e80ccd06dd465bfb5d4dd681fd6ed73397ee09eb76bb1b4e454,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b989f7a6a87eb9c5c5c931159c8158bc6d2393bd2484879ede44c8be1eba86ed,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
167e0699b87a7bb6c0778b72c4de13809787d3dcc34a94d8c65dfda70208e838,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3a7702f7d654fa7539e6f6d6390e1da9270558d544213b5e40f740d3986d55a5,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
3af7e9a4e0dd9fe640952852b65e34fdef48926f9545763dde9b0ab7dbb3024f,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
8150a739b32df5debd0e8cdf7c28b6cbff7f184e9e28ca262198ee7a3d8aecd9,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5f962ff5c498a7a65163f9b4999ff7e54617f75c5a8f5733154519b8f4e0d5dd,2014-02,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d3175865fbed2fd1b4023397cb14cbd2da3839ad7a6897e17eacf9a96da0d4ea,2014-02,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
b8051a1ed96f8b48f07d13e59d6a42013b5da6a7a2ae5f9da4cb2d9039d3e5ac,2014-02,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
8648996ab91ac982d25384ad493d65d47478608518ad5e5fc3397352e6c26b63,2014-02,City of London Police,City of London Police,-0.086278,51.509876,On or near FISH STREET HILL,E01032739,City of London 001F,Offender given a drugs possession warning
fbd27057d3732a99721f3d3b392638cd11224f3e87fe512f88dc5304c8164b27,2014-02,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
