Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2012-07,City of London Police,City of London Police,-0.107607,51.517839,On or near A40,E01000917,Camden 027C,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Anti-social behaviour,,
af844ea36a06de340fec20580834f8e1511ebcd6cd13ebe286ca7052f2c2b2fc,2012-07,City of London Police,City of London Police,-0.111497,51.518226,On or near Pedestrian Subway,E01000914,Camden 028B,Other theft,Under investigation,
4f4f8a4c610768b70ce571f327ff8dddcfc465098d941524d766b86e13fc2854,2012-07,City of London Police,City of London Police,-0.113767,51.517372,On or near Stone Buildings,E01000914,Camden 028B,Public disorder and weapons,Offender sent to prison,
,2012-07,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097601,51.520699,On or near Carthusian Street,E01000001,City of London 001A,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Anti-social behaviour,,
6f7e802f291471409d937d3f4593b6f8efaddbdccc25b55802eda4f8fcf22055,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison,
8d670bed1430ac127c3ebb67cb117dd80fd59d8e38912f7444723ce0c2f27535,2012-07,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Burglary,Court result unavailable,
27097188461d61ac4ff191b1bdef04d4f0cdce80b982997c69b8efa5173f4f59,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified,
d05bdae4451658c94c10d421aa7064b6864490eb9240a12350a7ef9277ebf0a5,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison,
4f7f2811e5b88f4ab0977e8035fa7dbc4623215d2b6d9519cb3c3af28ff94182,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Under investigation,
ae67ad97b30fb5a5343fdc3f520b6746b57fccc105ee372cb2790c64aa6b145a,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Burglary,Investigation complete; no suspect identified,
340b757907aabd3920e0bde5dab7c7cdf8819916ef5399be5c733c43c1cbb123,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison,
18d57f48bc1bb3835f36d0880fcb96f3ebee0e73a7e35bd18f939bef63f7b179,2012-07,City of London Police,City of London Police,-0.096348,51.515472,On or near Foster Lane,E01000001,City of London 001A,Burglary,Offender sent to prison,
5f8e79146f6c8c3b82d50025f511fab543fc2b267405f13a3d8e4a25976903f6,2012-07,City of London Police,City of London Police,-0.095892,51.516391,On or near Noble Street,E01000001,City of London 001A,Criminal damage and arson,Court result unavailable,
9b3cd0edd26a48b2bc0303fa156eed6fe327514b02ed4889cf4da37e8365f153,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Criminal damage and arson,Investigation complete; no suspect identified,
b2634d089a79900c144fe50fda565f5a4e18f7fb33267ef33ce51442cb96c961,2012-07,City of London Police,City of London Police,-0.095960,51.517534,On or near London Wall,E01000001,City of London 001A,Other theft,Offender given community sentence,
577ccffd34a7174346aa38001bae06396c77385a9cf6762ae8c7208373b9ef61,2012-07,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
721a4ee1cc1f22b3706d819e4db876bada78b0b2048f079caf133b92e6ea8091,2012-07,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
e17c3c645cfc1ec04555a24890ff6ef942b851494532bae7935f408e1ba2f8bb,2012-07,City of London Police,City of London Police,-0.098023,51.519905,On or near Long Lane,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
8dc575ae17a9becc7be0c597cf80cdc2c74bfa51e4654945d55d89cc7e2f1e90,2012-07,City of London Police,City of London Police,-0.098062,51.517577,On or near Montague Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
6c20afddb7cb69dbc6c6bd7d5f68b0ecfa85b99c72e1ade8bf3634cd99e3036a,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
711c3d4af4e0c3bb364070e210a63fc877a978e89d78f35f0df6882547d9595b,2012-07,City of London Police,City of London Police,-0.095960,51.517534,On or near London Wall,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
26feaffe6a83a523aa691d649f99ce4c049194c01c6154cae6f6903d84aae1d7,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
f5a41726e0cf52eee4bc2bdacce062f9a2b71e5351337ba65e1c228c9ab108f2,2012-07,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
a0170f5fa62142be9bf046ce0666b45951a599046bce1752474e3d739aeeb5f9,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Investigation complete; no suspect identified,
d5252cfa3efd2dca80aeba44c8f985c318e8c677bebf036fa27537b46a28be7f,2012-07,City of London Police,City of London Police,-0.097334,51.521567,On or near Fann Street,E01000001,City of London 001A,Other theft,Under investigation,
463f11ba7eef3548576cfb024d111b467ffdf503431e90aa070b0c52e8a7279b,2012-07,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Public disorder and weapons,Court result unavailable,
4bcc49e8213c55af5b901485bebbd40b7ac11462da507b12dd836581084f34f9,2012-07,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Violent crime,Investigation complete; no suspect identified,
,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.094115,51.516497,On or near Wood Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093558,51.516703,On or near Police Station,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093919,51.519812,On or near Parking Area,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.089596,51.518743,On or near New Union Street,E01000002,City of London 001B,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Anti-social behaviour,,
fea48cca9d4e00b1a0dd7b2aa13b75997b907a86736f2b2108ae0885d9c6b4da,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Burglary,Offender given a caution,
2f4e13b7bd3098c3f4253acf851d772a3676041ea70a27b2137bbcee5cdf8bbb,2012-07,City of London Police,City of London Police,-0.094094,51.515606,On or near Gresham Street,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
813082ff5eadded3df01feb63021a6dc16e9078cfc3bf988c05f33710ba87263,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
0079c9b64741ea119e1825a61f7ecdfe8b0407ceacb188c22ed42bdcdb584a86,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
abc375f2748025f7c99f2537fefe9dfe9051eab7d2de1e5bb1310e5b79ea580b,2012-07,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
6c9843846fc73a55dd3222e1b1f948b50d1ca10b247736f23d49d90e3897ee9d,2012-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
da2bdff9834c1ee1f9285f7e27d8ae250c1dc4bab0e6c618c57e8812f3558387,2012-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
ffcd9927aaae6f04d9f1ee995dcb4ea97e2c3b81e800e36dc3baf7a7bbfb286f,2012-07,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Offender given community sentence,
31fa2ce595664cb140f1652dbb9b011f357a64c635b8f4cec4dcfa8ec1222690,2012-07,City of London Police,City of London Police,-0.095484,51.515467,On or near Gutter Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
50dbf742aae21074bb0a1a3f45143a9d66e70bf4b5a9f8274f1615617fd2cfdd,2012-07,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
ee6d0876802b3a36b6376d4625e33a31a940c162c249808a3548b014417e3c83,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
eb13fa18bb02d1a58256fc0784dd0bc77a6e40bb767634de6bd56fddf96f3dc9,2012-07,City of London Police,City of London Police,-0.093057,51.520085,On or near Theatre/Concert Hall,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
150a7fa14920a4b30a4a401a5059cddcb156aa6cf4dfb567d7205fabc4914cb5,2012-07,City of London Police,City of London Police,-0.090348,51.519358,On or near Moor Lane,E01000002,City of London 001B,Other theft,Investigation complete; no suspect identified,
d1bdeb47d5bf641eba13e5fc185fbb4c9e8fe606984f6fd2540b2e7e1e8f6276,2012-07,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Robbery,Investigation complete; no suspect identified,
4d83f2e1ad6b3dd531af5008dcd11219d8ae164028603acffd0325d82deb40c8,2012-07,City of London Police,City of London Police,-0.094546,51.520658,On or near Beech Street,E01000002,City of London 001B,Vehicle crime,Investigation complete; no suspect identified,
c96d74f2a916941fc4cc4c58874077d11aca2a6f605af2d4a4d8603bfe586ab7,2012-07,City of London Police,City of London Police,-0.093948,51.518077,On or near Monkwell Square,E01000002,City of London 001B,Vehicle crime,Investigation complete; no suspect identified,
5f94084dd1e25006695c20dcf2b92f0dad07856d99a674db22526a96441930ac,2012-07,City of London Police,City of London Police,-0.094115,51.516497,On or near Wood Street,E01000002,City of London 001B,Violent crime,Investigation complete; no suspect identified,
027e0146fff42699d324927f03630105a031873060c5ceb2c837fbb2b5573e2e,2012-07,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Violent crime,Under investigation,
bfd9c41f8ade1637fa3c2b334157b15517cf32d86d7f12f905d4bc47ce75ff07,2012-07,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Violent crime,Under investigation,
b607369dac59afcb027757a6b58ed8dbee31fed5a1b9381e3020d054e5d6f8c1,2012-07,City of London Police,City of London Police,-0.095400,51.515753,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Violent crime,Defendant found not guilty,
182afe58da1c8cb276044aa0b85f841c4d17438b6d0bbb813691513b3799c883,2012-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Violent crime,Offender given a caution,
e2aff45ecf3ced5c55d2a25bd0c1a216d946d381b9615ab40fc617865aa7c420,2012-07,City of London Police,City of London Police,-0.088621,51.518619,On or near Moorfields,E01000002,City of London 001B,Violent crime,Offender given a caution,
20ee81ab92d541c7de034ee1100274796cfb3532fc5659809d2632361e7ffcb0,2012-07,City of London Police,City of London Police,-0.093933,51.519812,On or near Conference/Exhibition Centre,E01000002,City of London 001B,Violent crime,Investigation complete; no suspect identified,
aa47cc1e8e75ff8548b48ec84c479ee042e1a423c7c2674e710e6be88ae2db6e,2012-07,City of London Police,City of London Police,-0.094115,51.516497,On or near Wood Street,E01000002,City of London 001B,Violent crime,Investigation complete; no suspect identified,
57f11b10d7e51d89a2d8b25b24e0ad7395830b7a57b538fbd27b19afca7183d2,2012-07,City of London Police,City of London Police,-0.092628,51.517920,On or near St Alphage Garden,E01000002,City of London 001B,Other crime,Defendant found not guilty,
,2012-07,City of London Police,City of London Police,-0.094033,51.520875,On or near Shopping Area,E01000003,City of London 001C,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.096114,51.520747,On or near Park/Open Space,E01000003,City of London 001C,Anti-social behaviour,,
06f58352253a7fb860b0129177e61505f02ebb3ae048301ee348737abac0257a,2012-07,City of London Police,City of London Police,-0.095860,51.521660,On or near Fann Street,E01000003,City of London 001C,Burglary,Under investigation,
98bba79e8754dfcd4da96b187fe8c5f3d35e5e77467dda77393f512da8292af8,2012-07,City of London Police,City of London Police,-0.094468,51.521853,On or near Golden Lane,E01000003,City of London 001C,Other theft,Investigation complete; no suspect identified,
0fd8a3cf1b0043b89185c664339b3274ffd604f3e280fed6cbee05d34bc49059,2012-07,City of London Police,City of London Police,-0.094468,51.521853,On or near Golden Lane,E01000003,City of London 001C,Robbery,Court result unavailable,
,2012-07,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.075722,51.511053,On or near Crescent,E01000005,City of London 001E,Anti-social behaviour,,
,2012-07,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Anti-social behaviour,,
